ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9627,0.2582,0.3767,0.1597,irbl2
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9666,0.3277,0.4614,0.1063,no_correction
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9665,0.3321,0.464,0.1098,untrusted_only
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9666,0.3175,0.4536,0.1108,kpdr
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9558,0.093,0.1551,0.288,pdr
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9582,0.2591,0.3512,0.1838,irbl
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9585,0.2718,0.364,0.1807,irbl2
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9619,0.3375,0.4364,0.1211,no_correction
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9599,0.3443,0.4284,0.1249,untrusted_only
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9625,0.3256,0.4311,0.1203,kpdr
zebra,0.0333,0.25,1.0,5,0.8455,0.0,0.9604,0.2163,0.3231,0.1992,pdr
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9573,0.2784,0.3627,0.1881,irbl
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.957,0.2668,0.3512,0.1863,irbl2
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9532,0.3564,0.3992,0.1347,no_correction
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9504,0.3648,0.3911,0.1425,untrusted_only
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9605,0.3416,0.4305,0.1261,kpdr
zebra,0.0333,0.25,1.0,10,0.8262,0.0,0.9565,0.3351,0.402,0.175,pdr
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9525,0.3072,0.3607,0.2027,irbl
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9512,0.2901,0.3418,0.2044,irbl2
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9464,0.3629,0.3717,0.1509,no_correction
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9353,0.367,0.3312,0.171,untrusted_only
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9539,0.3583,0.4041,0.1376,kpdr
zebra,0.0333,0.25,1.0,20,0.8165,0.0,0.9486,0.3302,0.3592,0.2017,pdr
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9401,0.31,0.3113,0.2545,irbl
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9496,0.302,0.3437,0.23,irbl2
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9411,0.3754,0.3577,0.1657,no_correction
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9232,0.3758,0.2993,0.2192,untrusted_only
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.951,0.3745,0.4005,0.1467,kpdr
zebra,0.0333,0.25,1.0,50,0.8107,0.0,0.9349,0.3486,0.3188,0.2527,pdr
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9399,0.3087,0.3096,0.3227,irbl
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9439,0.3096,0.3253,0.2474,irbl2
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9326,0.3687,0.3231,0.1777,no_correction
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9175,0.3789,0.2862,0.2455,untrusted_only
