ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
eeg,0.0318,0.5,0.6,20,0.8344,0.38,0.5645,0.1117,0.1126,0.8287,pdr
eeg,0.0318,0.5,0.7,20,0.8344,0.27,0.747,0.4716,0.4797,0.5068,irbl2
eeg,0.0318,0.5,0.7,20,0.8344,0.27,0.7652,0.5004,0.5133,0.496,kpdr
eeg,0.0318,0.5,0.7,20,0.8344,0.27,0.6417,0.2518,0.258,0.7096,pdr
eeg,0.0318,0.5,0.8,20,0.8344,0.18,0.8142,0.6107,0.6192,0.4158,irbl2
eeg,0.0318,0.5,0.8,20,0.8344,0.18,0.8046,0.5887,0.5985,0.4224,kpdr
eeg,0.0318,0.5,0.8,20,0.8344,0.18,0.7443,0.4811,0.4821,0.5439,pdr
eeg,0.0318,0.5,0.9,20,0.8344,0.11,0.8438,0.6787,0.6825,0.3651,irbl2
eeg,0.0318,0.5,0.9,20,0.8344,0.11,0.8331,0.6527,0.6593,0.3823,kpdr
eeg,0.0318,0.5,0.9,20,0.8344,0.11,0.7953,0.597,0.5906,0.4684,pdr
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8632,0.7148,0.721,0.3184,irbl2
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8614,0.7079,0.7164,0.3207,kpdr
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8807,0.7519,0.7572,0.3032,pdr
eeg,0.0318,0.5,0.5,50,0.829,0.49,0.6411,0.2682,0.2699,0.6523,irbl2
eeg,0.0318,0.5,0.5,50,0.829,0.49,0.7334,0.431,0.4444,0.5669,kpdr
eeg,0.0318,0.5,0.5,50,0.829,0.49,0.4887,-0.0264,-0.0262,0.9373,pdr
eeg,0.0318,0.5,0.6,50,0.829,0.38,0.696,0.3634,0.3716,0.5909,irbl2
eeg,0.0318,0.5,0.6,50,0.829,0.38,0.7492,0.462,0.4768,0.5339,kpdr
eeg,0.0318,0.5,0.6,50,0.829,0.38,0.5614,0.1036,0.1046,0.8319,pdr
eeg,0.0318,0.5,0.7,50,0.829,0.27,0.7383,0.4502,0.4598,0.5261,irbl2
eeg,0.0318,0.5,0.7,50,0.829,0.27,0.7392,0.4419,0.456,0.534,kpdr
eeg,0.0318,0.5,0.7,50,0.829,0.27,0.6389,0.2462,0.2522,0.7228,pdr
eeg,0.0318,0.5,0.8,50,0.829,0.18,0.7859,0.5551,0.562,0.4602,irbl2
eeg,0.0318,0.5,0.8,50,0.829,0.18,0.8008,0.5811,0.5908,0.4451,kpdr
eeg,0.0318,0.5,0.8,50,0.829,0.18,0.7312,0.4544,0.4554,0.5877,pdr
eeg,0.0318,0.5,0.9,50,0.829,0.11,0.8242,0.6369,0.6419,0.3914,irbl2
eeg,0.0318,0.5,0.9,50,0.829,0.11,0.8369,0.6584,0.6664,0.3848,kpdr
eeg,0.0318,0.5,0.9,50,0.829,0.11,0.785,0.575,0.5696,0.4949,pdr
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8549,0.6955,0.7034,0.342,irbl2
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8605,0.7027,0.7136,0.3305,kpdr
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.868,0.7249,0.731,0.3267,pdr
eeg,0.0318,0.5,0.5,100,0.8274,0.49,0.6471,0.2808,0.2825,0.64,irbl2
eeg,0.0318,0.5,0.5,100,0.8274,0.49,0.7325,0.4327,0.4446,0.5589,kpdr
eeg,0.0318,0.5,0.5,100,0.8274,0.49,0.4809,-0.0394,-0.039,0.9427,pdr
eeg,0.0318,0.5,0.6,100,0.8274,0.38,0.7074,0.3896,0.3971,0.5766,irbl2
eeg,0.0318,0.5,0.6,100,0.8274,0.38,0.7477,0.4612,0.4748,0.5422,kpdr
eeg,0.0318,0.5,0.6,100,0.8274,0.38,0.5601,0.1041,0.1048,0.8252,pdr
eeg,0.0318,0.5,0.7,100,0.8274,0.27,0.7339,0.4464,0.4535,0.5209,irbl2
eeg,0.0318,0.5,0.7,100,0.8274,0.27,0.7668,0.499,0.5143,0.4876,kpdr
eeg,0.0318,0.5,0.7,100,0.8274,0.27,0.6389,0.2501,0.2552,0.7166,pdr
eeg,0.0318,0.5,0.8,100,0.8274,0.18,0.7893,0.5633,0.5694,0.4413,irbl2
eeg,0.0318,0.5,0.8,100,0.8274,0.18,0.7971,0.5713,0.5821,0.4374,kpdr
eeg,0.0318,0.5,0.8,100,0.8274,0.18,0.735,0.4654,0.4649,0.5638,pdr
eeg,0.0318,0.5,0.9,100,0.8274,0.11,0.8316,0.6552,0.658,0.3757,irbl2
eeg,0.0318,0.5,0.9,100,0.8274,0.11,0.8289,0.6439,0.6506,0.3912,kpdr
eeg,0.0318,0.5,0.9,100,0.8274,0.11,0.7737,0.5563,0.5488,0.4966,pdr
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8627,0.7134,0.72,0.3295,irbl2
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8583,0.699,0.7093,0.332,kpdr
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.864,0.7211,0.7241,0.3198,pdr
eeg,0.0935,0.75,0.5,1,1.0,0.47,0.8097,0.6109,0.6137,0.4271,irbl2
eeg,0.0935,0.75,0.5,1,1.0,0.47,0.8044,0.5896,0.5986,0.4564,kpdr
eeg,0.0935,0.75,0.5,1,1.0,0.47,0.526,0.0553,0.0546,0.8197,pdr
eeg,0.0935,0.75,0.6,1,1.0,0.38,0.8311,0.6526,0.6566,0.3906,irbl2
eeg,0.0935,0.75,0.6,1,1.0,0.38,0.8077,0.5921,0.6038,0.4354,kpdr
eeg,0.0935,0.75,0.6,1,1.0,0.38,0.6019,0.1916,0.1923,0.7303,pdr
eeg,0.0935,0.75,0.7,1,1.0,0.26,0.8527,0.6969,0.7007,0.3453,irbl2
eeg,0.0935,0.75,0.7,1,1.0,0.26,0.8347,0.6492,0.6602,0.3845,kpdr
eeg,0.0935,0.75,0.7,1,1.0,0.26,0.6776,0.328,0.3348,0.6154,pdr
eeg,0.0935,0.75,0.8,1,1.0,0.15,0.8625,0.7137,0.7197,0.3195,irbl2
eeg,0.0935,0.75,0.8,1,1.0,0.15,0.8569,0.6994,0.7075,0.3378,kpdr
eeg,0.0935,0.75,0.8,1,1.0,0.15,0.7784,0.5541,0.553,0.473,pdr
